id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
PBK	12	0.25718	0.50013	0.946921	11268	4	0.1341	0.34995	0.59203	0.974308	13066	5	0.1341
ATP10A	12	0.25727	0.50013	0.946921	11269	4	-0.021605	0.17175	0.34854	0.853912	8800	5	-0.021605
SERPINB13	12	0.25735	0.50013	0.946921	11270	5	-0.16707	0.21276	0.42856	0.914393	10048	4	-0.16707
RBM18	11	0.25737	0.48277	0.939298	11271	4	0.078481	0.025656	0.062888	0.62605	2302	5	0.078481
NEDD4L	12	0.25742	0.50013	0.946921	11272	4	-0.017026	0.65273	0.85003	1.0	17548	2	-0.017026
DYRK2	12	0.25747	0.50013	0.946921	11273	5	0.074804	0.018534	0.050424	0.619159	1744	6	0.074804
hsa-mir-6816	8	0.25751	0.4525	0.920395	11274	2	0.53666	0.030847	0.074665	0.638705	2638	5	0.53666
PCDHGA3	4	0.25754	0.37066	0.902971	11275	2	-0.24154	0.16943	0.27611	0.813963	8720	1	-0.24154
YWHAQ	12	0.25754	0.50013	0.946921	11276	4	-0.070115	0.36008	0.60569	0.980724	13262	4	-0.070115
RNF215	12	0.25769	0.50043	0.946921	11277	4	0.03952	0.13243	0.28279	0.813963	7491	5	0.03952
MIPEP	12	0.25777	0.50043	0.946921	11278	5	0.15425	0.09465	0.22443	0.790558	6094	5	0.15425
LPIN3	12	0.25779	0.50043	0.946921	11279	3	-0.035174	0.35046	0.59286	0.974639	13074	3	-0.035174
FOXI2	12	0.25779	0.50043	0.946921	11280	2	0.081279	0.30337	0.54536	0.966257	12107	5	0.081279
hsa-mir-1255b-2	6	0.25787	0.42983	0.91414	11281	3	-0.21795	0.035322	0.071357	0.63053	2915	2	-0.21795
LCTL	12	0.25789	0.50043	0.946921	11282	4	-0.026181	0.033894	0.089396	0.671638	2831	5	-0.026181
SP100	12	0.2579	0.50043	0.946921	11283	2	0.31133	0.048114	0.11951	0.699505	3650	7	0.31133
NUP62	12	0.25794	0.50043	0.946921	11284	1	0.12778	0.25781	0.48962	0.947438	11084	4	0.12778
ADD3	12	0.25806	0.50043	0.946921	11285	4	-0.065209	0.30461	0.54632	0.966257	12129	4	-0.065209
OR13F1	12	0.25815	0.50043	0.946921	11286	5	-0.21072	0.45391	0.70176	1.0	14913	2	-0.21072
OLR1	12	0.25817	0.50043	0.946921	11287	5	-0.054789	0.7493	0.89402	1.0	18394	3	-0.054789
MRPS27	12	0.2582	0.50043	0.946921	11288	4	-0.20457	0.39516	0.64855	0.990105	13988	3	-0.20457
KDM6A	12	0.25821	0.50043	0.946921	11289	2	0.13298	0.51877	0.74711	1.0	15779	3	0.13298
CCL2	12	0.2584	0.50074	0.946921	11290	5	-0.11025	0.32147	0.56451	0.971709	12459	3	-0.11025
hsa-mir-559	8	0.2584	0.4539	0.921474	11291	4	-0.20814	0.34131	0.54669	0.966257	12882	2	-0.20814
BHLHA15	12	0.25844	0.50074	0.946921	11292	4	0.048534	0.0033647	0.0094285	0.462826	437	5	0.048534
NRIP1	12	0.25848	0.50074	0.946921	11293	4	-0.022727	0.29784	0.54148	0.966257	11963	5	-0.022727
HMGCS1	12	0.25849	0.50074	0.946921	11294	3	0.11854	0.007245	0.020023	0.498132	842	5	0.11854
C10orf35	12	0.2585	0.50074	0.946921	11295	5	-0.066023	0.6841	0.86526	1.0	17814	3	-0.066023
KAT6B	12	0.25857	0.50074	0.946921	11296	5	0.03654	0.069949	0.16563	0.722793	4892	5	0.03654
ITIH1	12	0.25861	0.50074	0.946921	11297	5	-0.082956	0.11027	0.25269	0.812082	6678	4	-0.082956
OR10A6	12	0.25862	0.50074	0.946921	11298	5	-0.046991	0.84656	0.94156	1.0	19390	3	-0.046991
hsa-mir-548aw	8	0.25862	0.45429	0.921474	11299	3	-0.059939	0.10615	0.2265	0.79366	6514	3	-0.059939
OGFRL1	12	0.25865	0.50074	0.946921	11300	5	-0.11859	0.37115	0.62455	0.987583	13495	4	-0.11859
MBD5	12	0.25866	0.50074	0.946921	11301	4	-0.051748	0.4387	0.69121	1.0	14715	4	-0.051748
ALG10	12	0.25867	0.50074	0.946921	11302	1	0.28617	0.0071339	0.019831	0.498132	831	8	0.28617
C14orf178	12	0.25871	0.50074	0.946921	11303	4	-0.11716	0.53159	0.75457	1.0	15949	4	-0.11716
CD7	12	0.25886	0.50074	0.946921	11304	4	0.16804	0.10007	0.23404	0.798662	6290	6	0.16804
hsa-mir-6511a-4	8	0.2589	0.45429	0.921474	11305	3	-0.32149	0.90911	0.93255	1.0	19828	1	-0.32149
ICA1L	12	0.25894	0.50074	0.946921	11306	5	-0.0024327	0.51234	0.74206	1.0	15703	4	-0.0024327
ACVRL1	12	0.25897	0.50092	0.946921	11307	2	0.36299	0.011975	0.0323	0.547874	1239	7	0.36299
GADD45G	12	0.25898	0.50092	0.946921	11308	4	-0.20901	0.46271	0.7073	1.0	15014	2	-0.20901
C1orf229	12	0.25907	0.50092	0.946921	11309	3	0.21661	0.14737	0.30813	0.83308	7977	6	0.21661
TCEA3	12	0.2592	0.50092	0.946921	11310	4	-0.0061599	0.53378	0.75578	1.0	15978	3	-0.0061599
AP4B1	12	0.2592	0.50092	0.946921	11311	4	-0.13353	0.76421	0.90086	1.0	18541	3	-0.13353
FCER1G	12	0.25925	0.50092	0.946921	11312	4	-0.021652	0.14294	0.29775	0.817362	7827	5	-0.021652
SPTLC3	12	0.25928	0.50092	0.946921	11313	4	-0.038537	0.24735	0.47617	0.941785	10832	4	-0.038537
RGPD2	8	0.25932	0.45473	0.92161	11314	2	-0.12162	0.52525	0.71804	1.0	15872	2	-0.12162
NRSN2	12	0.25936	0.50152	0.946921	11315	5	-0.19614	0.20983	0.4225	0.909327	9968	4	-0.19614
ATP1B3	12	0.25936	0.50152	0.946921	11316	5	0.057486	0.44335	0.69488	1.0	14766	3	0.057486
AICDA	12	0.25943	0.50152	0.946921	11317	3	0.17454	0.59754	0.8088	1.0	16856	4	0.17454
