Gene	sgRNA	NKselection|beta	NKselection|z	NKselection|p-value	NKselection|fdr	NKselection|wald-p-value	NKselection|wald-fdr
CTDNEP1	6	-0.08351	-0.11368	0.59312	0.99069	0.90949	0.96463
hsa-mir-103a-1	4	-0.51757	-1.2491	0.32203	0.95199	0.21164	0.84383
MYO9A	6	0.36754	0.64659	0.82002	0.99682	0.5179	0.84562
VDR	6	0.43799	0.71879	0.72618	0.99682	0.47227	0.84383
CAPZA2	6	0.051434	0.11182	0.74549	0.99682	0.91097	0.96481
hsa-mir-219b	4	0.72963	0.91447	0.50569	0.98798	0.36047	0.84383
NAA35	6	1.8791	0.80369	0.014334	0.68094	0.42158	0.84383
C12orf71	6	0.88347	1.0042	0.27884	0.94792	0.31527	0.84383
hsa-mir-518a-1	4	0.076015	0.1719	0.83813	0.99682	0.86352	0.94725
PYURF	6	0.054826	0.11857	0.74997	0.99682	0.90562	0.96381
CADPS	6	0.0096147	0.032691	0.69867	0.99682	0.97392	0.9898
ANKRD12	6	1.3941	1.0561	0.067244	0.84629	0.29094	0.84383
POLM	6	-0.50264	-1.1025	0.22777	0.94021	0.27026	0.84383
WRAP73	6	0.77764	1.0726	0.35885	0.9642	0.28345	0.84383
STYX	6	1.1138	0.81097	0.15398	0.92898	0.41738	0.84383
hsa-mir-135b	4	0.066643	0.3044	0.82905	0.99682	0.76082	0.91135
CNPY2	6	0.29405	0.52832	0.92013	0.9972	0.59728	0.86001
C1orf109	6	0.36218	0.49033	0.82698	0.99682	0.6239	0.86899
PRM3	6	0.8344	0.88952	0.31382	0.95153	0.37373	0.84383
C4BPB	6	-0.28774	-0.57412	0.38895	0.9708	0.56589	0.85454
C7orf69	6	0.22432	0.53956	0.98147	0.99944	0.5895	0.85854
PUSL1	6	0.51148	0.87012	0.63225	0.99176	0.38424	0.84383
NBN	6	0.72069	1.1288	0.40996	0.97683	0.25898	0.84383
SPIRE2	6	-0.338	-0.69195	0.3459	0.95692	0.48897	0.84383
MAGEB3	6	-0.00086301	-0.0019723	0.68659	0.99682	0.99843	0.99939
CLDN5	6	-1.4893	-1.9384	0.0084343	0.61745	0.05257	0.84383
JMJD8	6	-0.12525	-0.17851	0.54773	0.98827	0.85832	0.94587
SLCO1B3	6	0.26216	0.70678	0.96603	0.99919	0.47971	0.84383
C11orf68	6	-1.2019	-2.1789	0.023045	0.73971	0.029338	0.84383
MDH2	6	1.665	0.83294	0.028806	0.77503	0.40488	0.84383
RPA4	6	1.0136	1.1415	0.20252	0.94021	0.25367	0.84383
OR9I1	6	-0.51361	-1.127	0.22058	0.94021	0.25975	0.84383
PRAMEF11	5	0.64961	0.86184	0.52662	0.98798	0.38878	0.84383
GRXCR2	6	0.54753	0.8842	0.58925	0.99026	0.37659	0.84383
UBE2QL1	6	-0.55202	-1.9741	0.19726	0.93798	0.048375	0.84383
NUP50	6	0.74868	1.0623	0.38402	0.9693	0.28808	0.84383
LARP6	6	-0.57583	-1.1562	0.18417	0.93547	0.2476	0.84383
PPP2R1A	6	1.0664	0.79523	0.17555	0.93462	0.42648	0.84383
RPL26L1	6	-0.77377	-1.4138	0.10218	0.90608	0.15742	0.84383
hsa-mir-409	4	-0.051372	-0.12075	0.70996	0.99682	0.90389	0.96323
