id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ALG10	12	0.26245	0.55057	0.997892	11503	1	0.28297	0.0090391	0.048126	0.973007	1023	8	0.28297
SLC19A3	12	0.26252	0.55065	0.997892	11504	4	0.016287	0.72725	0.89853	0.999761	19061	3	0.016287
SCYL3	12	0.26256	0.55069	0.997892	11505	4	0.33816	0.00049829	0.0037503	0.843981	88	7	0.33816
FAM132A	12	0.26258	0.55072	0.997892	11506	3	0.13642	0.18291	0.44805	0.994106	9420	5	0.13642
DLEC1	12	0.26258	0.55072	0.997892	11507	4	0.066872	0.44313	0.73369	0.999761	15358	5	0.066872
hsa-mir-7106	8	0.2626	0.50541	0.997892	11508	3	-0.038236	0.22294	0.45617	0.994106	10599	3	-0.038236
NUCB2	12	0.26264	0.55079	0.997892	11509	5	-0.095291	0.37188	0.66749	0.999761	13991	4	-0.095291
OR13H1	12	0.26273	0.55089	0.997892	11510	3	0.056761	0.53736	0.79445	0.999761	16723	4	0.056761
JAG2	12	0.26273	0.55089	0.997892	11511	4	0.11708	0.40553	0.69924	0.999761	14672	4	0.11708
CBY3	12	0.26273	0.55089	0.997892	11512	4	0.11355	0.10574	0.31945	0.979461	6807	3	0.11355
SLC35E2B	8	0.26274	0.50558	0.997892	11513	3	0.17688	0.0061049	0.029546	0.966402	733	4	0.17688
hsa-mir-135b	8	0.26278	0.50563	0.997892	11514	4	-0.16647	0.90826	0.9377	0.999761	20787	1	-0.16647
hsa-mir-892c	8	0.26278	0.50563	0.997892	11515	4	-0.13334	0.29589	0.5483	0.999761	12351	2	-0.13334
FIP1L1	12	0.2628	0.55097	0.997892	11516	3	0.013473	0.054091	0.19547	0.974277	4114	5	0.013473
MRPS22	12	0.26282	0.55098	0.997892	11517	5	-0.11883	0.18079	0.44478	0.994106	9359	3	-0.11883
SOCS2	12	0.26283	0.55099	0.997892	11518	4	0.025758	0.55429	0.80472	0.999761	16943	3	0.025758
MED25	12	0.26289	0.55105	0.997892	11519	5	-0.13807	0.95478	0.981	0.999761	21200	1	-0.13807
C10orf32	12	0.2629	0.55106	0.997892	11520	4	0.11011	0.059054	0.20838	0.974277	4398	5	0.11011
MEP1B	12	0.2629	0.55106	0.997892	11521	3	0.27842	0.12509	0.35341	0.984063	7524	6	0.27842
PSME2	12	0.26298	0.55115	0.997892	11522	5	0.12575	0.092879	0.29148	0.978005	6224	5	0.12575
RPL14	12	0.26303	0.5512	0.997892	11523	5	0.17663	0.082196	0.26612	0.975897	5685	7	0.17663
EDA	12	0.26306	0.55124	0.997892	11524	4	0.14017	0.2713	0.56784	0.999761	11800	5	0.14017
DAZAP2	12	0.26306	0.55124	0.997892	11525	5	-0.19157	0.55402	0.80456	0.999761	16937	3	-0.19157
CEACAM8	12	0.26308	0.55126	0.997892	11526	4	-0.1491	0.68374	0.88145	0.999761	18641	4	-0.1491
AEN	12	0.26312	0.55131	0.997892	11527	4	-0.056864	0.55588	0.80567	0.999761	16963	2	-0.056864
NCMAP	12	0.26318	0.55137	0.997892	11528	5	-0.096494	0.080475	0.26193	0.975897	5591	4	-0.096494
ALDOB	12	0.2632	0.55139	0.997892	11529	4	0.079527	0.24324	0.53809	0.999761	11169	4	0.079527
KPTN	12	0.26334	0.55154	0.997892	11530	2	0.36282	0.020588	0.09339	0.974277	1939	7	0.36282
HIST2H2AB	12	0.26334	0.55154	0.997892	11531	4	0.19373	0.12019	0.34489	0.98356	7339	6	0.19373
AMT	12	0.26338	0.55158	0.997892	11532	5	-0.018748	0.22507	0.51202	0.999761	10662	4	-0.018748
PTH2	12	0.2635	0.55171	0.997892	11533	4	0.21644	0.06283	0.21803	0.974277	4627	6	0.21644
ATXN1L	12	0.26351	0.55173	0.997892	11534	3	-0.041659	0.6602	0.86768	0.999761	18350	3	-0.041659
LIMCH1	12	0.26353	0.55175	0.997892	11535	4	0.10202	0.11463	0.33511	0.982838	7130	5	0.10202
HMGCS1	12	0.26356	0.55179	0.997892	11536	2	0.1361	0.0064933	0.036747	0.966402	783	5	0.1361
SIDT2	12	0.26357	0.55179	0.997892	11537	1	0.27157	0.073208	0.24416	0.974277	5210	7	0.27157
DNAH8	12	0.26359	0.55181	0.997892	11538	4	-0.012413	0.151	0.39704	0.989213	8410	4	-0.012413
PLA2G16	12	0.2636	0.55182	0.997892	11539	4	-0.077096	0.99741	0.99742	0.999761	21645	0	-0.077096
C8orf59	12	0.26365	0.55188	0.997892	11540	5	0.31116	0.022423	0.10028	0.974277	2080	7	0.31116
CCNY	12	0.26367	0.55192	0.997892	11541	4	0.35481	0.044957	0.1709	0.974277	3567	6	0.35481
NOM1	12	0.26369	0.55194	0.997892	11542	3	0.0036642	0.37437	0.66987	0.999761	14044	3	0.0036642
GIMAP7	12	0.26378	0.55203	0.997892	11543	2	0.083076	0.26641	0.56278	0.999761	11682	4	0.083076
GSTT2	10	0.26381	0.53589	0.997892	11544	3	0.073569	0.47696	0.73413	0.999761	15915	4	0.073569
ZBTB6	12	0.26383	0.5521	0.997892	11545	4	0.20571	0.07012	0.23656	0.974277	5022	5	0.20571
