id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ELF3	6	0.02456	0.086583	0.96508	1819	3	-1.4994	0.9868	0.98688	0.999997	21347	0	-1.4994
ORM1	6	0.02456	0.086583	0.96508	1820	2	1.0031	0.078145	0.20778	0.993881	4229	3	1.0031
TCTEX1D1	6	0.02456	0.086583	0.96508	1821	1	0.74287	0.20574	0.41192	0.997138	8352	3	0.74287
GNL1	6	0.02456	0.086583	0.96508	1822	1	1.9448	0.0026662	0.013157	0.835197	316	4	1.9448
MBOAT1	6	0.02456	0.086583	0.96508	1823	2	0.32139	0.26118	0.47318	0.997138	9650	2	0.32139
ALS2CR12	6	0.02456	0.086583	0.96508	1824	3	-0.76257	0.19323	0.39787	0.997138	8069	2	-0.76257
KIAA0226L	5	0.02457	0.077252	0.952771	1825	3	-2.2041	0.84711	0.86189	0.999997	18903	1	-2.2041
NUP62CL	6	0.024574	0.086624	0.96508	1826	4	-1.5808	0.89513	0.90947	0.999997	19562	1	-1.5808
BAG2	6	0.024612	0.086745	0.96508	1827	4	-1.1138	0.7567	0.85651	0.999997	18051	1	-1.1138
RAB42	6	0.024646	0.086833	0.96508	1828	5	-0.97068	0.87378	0.89839	0.999997	19265	1	-0.97068
POLR3C	5	0.024661	0.077489	0.952771	1829	4	-2.3099	0.4631	0.62942	0.997138	13829	1	-2.3099
TRPC1	6	0.024723	0.087098	0.96508	1830	3	-0.90384	0.36847	0.58744	0.997138	11977	3	-0.90384
FREM2	6	0.024723	0.087098	0.96508	1831	3	-0.64506	0.22247	0.43043	0.997138	8723	3	-0.64506
AASS	6	0.024723	0.087098	0.96508	1832	4	-1.9892	0.29731	0.51215	0.997138	10502	2	-1.9892
TPM2	6	0.024723	0.087098	0.96508	1833	4	-1.9967	0.90536	0.91539	0.999997	19724	1	-1.9967
USP1	6	0.024723	0.087098	0.96508	1834	4	-1.9034	0.3222	0.5389	0.997138	11018	2	-1.9034
SHFM1	6	0.024723	0.087098	0.96508	1835	3	-0.35537	0.068494	0.18867	0.993881	3841	3	-0.35537
LIPC	6	0.024723	0.087098	0.96508	1836	3	-1.3497	0.53648	0.71327	0.998322	14920	2	-1.3497
ZBTB1	6	0.024735	0.087132	0.96508	1837	5	-1.3542	0.75167	0.85512	0.999997	17998	1	-1.3542
LRRC3C	5	0.024747	0.077716	0.953606	1838	1	0.46861	0.29331	0.50131	0.997138	10406	2	0.46861
