Gene	sgRNA	NKselection|beta	NKselection|z	NKselection|p-value	NKselection|fdr	NKselection|wald-p-value	NKselection|wald-fdr
PACS1	6	-0.19774	-1.0974	0.093884	0.95024	0.27245	0.99998
TEAD2	6	-0.024334	-0.19451	0.81892	0.99256	0.84578	0.99998
PDXP	6	0.014737	0.1381	0.90939	0.99432	0.89016	0.99998
CDCA7	6	0.035308	0.28709	0.77439	0.99256	0.77404	0.99998
BCAS1	6	-0.10769	-0.80203	0.34936	0.99224	0.42254	0.99998
EXOC8	6	0.083488	0.56545	0.48306	0.99224	0.57177	0.99998
TP53TG3D	4	-0.11315	-0.65736	0.4266	0.99224	0.51095	0.99998
TMEM254	6	0.064684	0.53452	0.59156	0.99224	0.59298	0.99998
ATP13A2	6	0.027097	0.27007	0.82915	0.99256	0.78711	0.99998
PRKAG2	6	-0.010892	-0.105	0.90884	0.99432	0.91637	0.99998
CENPV	6	-0.17357	-1.2491	0.13776	0.95344	0.21162	0.99998
PXDNL	5	0.045324	0.37792	0.7337	0.99256	0.70549	0.99998
MYOT	6	0.047764	0.38461	0.69452	0.99224	0.70053	0.99998
WBSCR17	6	0.060708	0.53095	0.61598	0.99224	0.59546	0.99998
MDGA1	6	-0.037042	-0.38983	0.73443	0.99256	0.69666	0.99998
PCCB	6	0.10112	0.77572	0.3972	0.99224	0.43791	0.99998
TP73	6	0.043385	0.39888	0.72134	0.99256	0.68998	0.99998
STX18	6	-0.012688	-0.077228	0.89722	0.99432	0.93844	0.99998
POLE	6	-0.047156	-0.27182	0.67138	0.99224	0.78576	0.99998
MUC4	6	-0.11181	-0.96966	0.33	0.99224	0.33222	0.99998
TRMT61A	6	0.19481	1.6196	0.10421	0.95024	0.10531	0.99998
ZNF681	6	0.11072	0.95126	0.35272	0.99224	0.34147	0.99998
CDCP1	6	0.12456	1.2274	0.29672	0.99224	0.21969	0.99998
ZNF804B	6	-0.097099	-0.8372	0.39766	0.99224	0.40248	0.99998
SLC35F3	6	0.06243	0.51792	0.60571	0.99224	0.60451	0.99998
PTPRM	6	0.13715	1.0804	0.24976	0.99018	0.27995	0.99998
ATAD2B	6	0.0505	0.36334	0.67871	0.99224	0.71635	0.99998
NonTargetingControlGuideForHuman_0016	1	0.071245	0.22085	0.80873	0.99256	0.82521	0.99998
HSBP1	6	0.11686	0.98568	0.3265	0.99224	0.32429	0.99998
TRAPPC6B	6	-0.21888	-1.4797	0.065908	0.94089	0.13895	0.99998
NEURL4	6	0.064971	0.46077	0.59017	0.99224	0.64496	0.99998
KRTAP5-4	6	0.047031	0.3458	0.69922	0.99224	0.72949	0.99998
PRKCG	6	-0.043794	-0.31181	0.69143	0.99224	0.75519	0.99998
NTF4	6	0.1156	1.231	0.33111	0.99224	0.21834	0.99998
SLC25A10	6	-0.068223	-0.5774	0.5457	0.99224	0.56367	0.99998
hsa-mir-6795	4	-0.11186	-0.67093	0.43181	0.99224	0.50226	0.99998
UQCRC1	6	0.1955	1.0706	0.10301	0.95024	0.28435	0.99998
BLOC1S1	6	0.01118	0.13409	0.93474	0.99632	0.89333	0.99998
CBY1	6	-0.1029	-0.90956	0.36899	0.99224	0.36306	0.99998
PI4K2B	6	-0.015258	-0.13921	0.87897	0.99353	0.88928	0.99998
USP6NL	6	0.14232	1.3705	0.2334	0.9833	0.17052	0.99998
SHANK1	6	0.081965	0.49629	0.49154	0.99224	0.61969	0.99998
