Gene	sgRNA	NKselection|beta	NKselection|z	NKselection|p-value	NKselection|fdr	NKselection|wald-p-value	NKselection|wald-fdr
SVIP	6	-0.0099166	-0.11114	0.91492	0.99455	0.91151	0.99998
ASPDH	6	-0.14289	-0.71365	0.21763	0.98147	0.47544	0.99998
TRIM4	6	-0.19754	-1.1686	0.094299	0.95024	0.24255	0.99998
hsa-mir-4438	4	0.092893	0.60915	0.52067	0.99224	0.54242	0.99998
PTPMT1	6	0.083903	0.49996	0.48126	0.99224	0.6171	0.99998
CALB1	6	-0.0053795	-0.043516	0.9482	0.99715	0.96529	0.99998
AFAP1L2	6	0.045602	0.35647	0.70752	0.99224	0.72149	0.99998
FNDC3B	6	0.050253	0.31444	0.68037	0.99224	0.75318	0.99998
DSC2	6	-0.093909	-0.84179	0.41434	0.99224	0.3999	0.99998
OPHN1	6	0.11386	0.7535	0.33811	0.99224	0.45115	0.99998
C19orf53	6	0.018732	0.17946	0.88298	0.99353	0.85758	0.99998
HAP1	6	-0.14313	-1.2043	0.21685	0.98147	0.22847	0.99998
SFI1	6	0.12395	0.72706	0.2988	0.99224	0.46719	0.99998
SPTLC2	6	0.065646	0.61413	0.58667	0.99224	0.53913	0.99998
IL17RD	6	0.028367	0.23005	0.82071	0.99256	0.81805	0.99998
TRABD2B	6	-0.12748	-0.77966	0.2693	0.99224	0.43559	0.99998
LYRM5	6	-0.082152	-0.5488	0.47016	0.99224	0.58314	0.99998
C6orf1	6	0.015415	0.097909	0.90483	0.99432	0.922	0.99998
JMJD1C	6	-0.047866	-0.29547	0.66733	0.99224	0.76763	0.99998
SLC10A1	6	-0.031918	-0.31292	0.76845	0.99256	0.75434	0.99998
CDX1	6	0.18698	1.4484	0.11757	0.95024	0.1475	0.99998
PIGH	6	0.065358	0.60298	0.58828	0.99224	0.54652	0.99998
CTDSP1	6	-0.00097938	-0.0081787	0.98101	0.99845	0.99347	0.99998
DBR1	6	-0.04687	-0.23157	0.67281	0.99224	0.81687	0.99998
NDUFS3	6	0.070638	0.56124	0.55819	0.99224	0.57463	0.99998
hsa-mir-1238	4	-0.14736	-1.0056	0.30626	0.99224	0.31461	0.99998
WISP2	6	0.077796	1.03	0.51569	0.99224	0.30299	0.99998
ADRA1B	6	-0.18785	-2.3259	0.10868	0.95024	0.020022	0.99998
LOC100506688	6	0.12627	0.97825	0.29059	0.99224	0.32795	0.99998
CRIM1	6	-0.12803	-1.0982	0.26723	0.99224	0.27212	0.99998
GIMAP1-GIMAP5	5	-0.11379	-0.92452	0.36738	0.99224	0.35521	0.99998
NOS1	6	-0.042177	-0.37323	0.70079	0.99224	0.70897	0.99998
NDP	6	-0.05993	-0.42025	0.59271	0.99224	0.6743	0.99998
COL4A3	6	0.12987	0.96443	0.27667	0.99224	0.33483	0.99998
NKX2-8	6	-0.055676	-0.23664	0.61949	0.99224	0.81294	0.99998
RP2	6	0.061496	0.30158	0.6111	0.99224	0.76297	0.99998
NonTargetingControlGuideForHuman_0845	1	-0.26766	-1.1958	0.36332	0.99224	0.23178	0.99998
TUBGCP4	6	-0.29397	-1.6618	0.014795	0.84368	0.096556	0.99998
LOC283710	6	-0.21331	-1.3579	0.072591	0.94089	0.17449	0.99998
SLC46A3	6	0.097322	0.75001	0.41384	0.99224	0.45325	0.99998
TDRD9	6	0.016947	0.10875	0.89436	0.99432	0.9134	0.99998
PCLO	6	0.023469	0.23612	0.85316	0.99256	0.81334	0.99998
CNOT7	6	-0.025772	-0.34253	0.80845	0.99256	0.73195	0.99998
KRTAP5-1	6	-0.16589	-1.304	0.15555	0.96379	0.19223	0.99998
MYCBPAP	6	0.059592	0.67221	0.62299	0.99224	0.50145	0.99998
PLEKHF2	6	0.078391	0.55897	0.51228	0.99224	0.57619	0.99998
TMEM107	6	0.060842	0.52585	0.61511	0.99224	0.59899	0.99998
NonTargetingControlGuideForHuman_0494	1	-0.040654	-0.32695	0.87459	0.99273	0.7437	0.99998
C1orf65	6	0.1875	1.315	0.11633	0.95024	0.18849	0.99998
RBBP6	6	0.011349	0.097846	0.93326	0.99607	0.92205	0.99998
LYZL4	6	0.33755	2.1291	0.0071438	0.78283	0.033245	0.99998
USP17L10	6	0.037009	0.20211	0.76292	0.99256	0.83983	0.99998
CYP4Z1	6	0.011437	0.13144	0.93271	0.99587	0.89543	0.99998
DDI1	6	0.036693	0.25537	0.76494	0.99256	0.79843	0.99998
MAP4	6	0.061269	0.28036	0.61271	0.99224	0.7792	0.99998
TCERG1L	6	0.076894	0.68569	0.52095	0.99224	0.49291	0.99998
ANAPC7	6	-0.057825	-0.59423	0.60575	0.99224	0.55236	0.99998
KRBOX1	6	0.05016	0.4795	0.68111	0.99224	0.63158	0.99998
MYH11	6	0.01108	0.076757	0.93552	0.99638	0.93882	0.99998
EEF1G	6	-0.0096689	-0.083466	0.91681	0.99455	0.93348	0.99998
SLC5A3	6	0.037911	0.25201	0.75725	0.99256	0.80103	0.99998
CHRNG	6	0.075426	0.43489	0.52915	0.99224	0.66364	0.99998
GLB1L3	5	-0.19003	-1.8037	0.13873	0.95434	0.071274	0.99998
PARD3	6	-0.080779	-0.31339	0.47647	0.99224	0.75398	0.99998
MCOLN2	6	0.089189	0.81329	0.45343	0.99224	0.41605	0.99998
hsa-mir-548j	4	-0.1442	-0.9985	0.31682	0.99224	0.31803	0.99998
TUFT1	6	0.0069308	0.057875	0.9635	0.99752	0.95385	0.99998
PIPOX	6	-0.19152	-1.115	0.10278	0.95024	0.26484	0.99998
UQCRHL	6	0.14583	1.5752	0.2227	0.98271	0.11521	0.99998
SALL3	6	-0.029526	-0.24248	0.78481	0.99256	0.80841	0.99998
P2RX6	6	-0.012541	-0.093016	0.89874	0.99432	0.92589	0.99998
LTF	6	-0.03229	-0.2462	0.76605	0.99256	0.80553	0.99998
ADAM21	6	-0.16466	-1.243	0.15827	0.96379	0.21389	0.99998
DPYSL4	6	-0.023392	-0.15291	0.82514	0.99256	0.87847	0.99998
TRIM61	6	-0.16333	-0.95482	0.16131	0.96379	0.33967	0.99998
CCDC42	6	0.16381	1.2441	0.17053	0.96379	0.21346	0.99998
KLRG2	6	0.061536	0.45315	0.61068	0.99224	0.65044	0.99998
PDAP1	6	0.022768	0.20657	0.85837	0.99256	0.83634	0.99998
ZNF24	6	-0.10707	-0.99898	0.35198	0.99224	0.3178	0.99998
MTERFD3	6	-0.15902	-1.8042	0.17145	0.96379	0.071201	0.99998
NonTargetingControlGuideForHuman_0449	1	0.096451	0.57838	0.73973	0.99256	0.563	0.99998
TRPM8	6	0.10962	1.4169	0.35765	0.99224	0.1565	0.99998
RHBDF2	6	-0.016842	-0.10435	0.86676	0.99256	0.91689	0.99998
ZC3HAV1	6	0.21805	1.4371	0.070978	0.94089	0.15069	0.99998
KIAA1324	6	0.082823	0.62541	0.48666	0.99224	0.5317	0.99998
PREB	6	-0.01216	-0.093206	0.90146	0.99432	0.92574	0.99998
REEP1	6	0.16045	1.6591	0.1791	0.9666	0.0971	0.99998
IRAK4	6	0.12882	1.1056	0.2805	0.99224	0.26891	0.99998
IQCB1	6	-0.017463	-0.18112	0.86275	0.99256	0.85628	0.99998
NonTargetingControlGuideForHuman_0105	1	-0.38158	-1.3255	0.21422	0.97935	0.18502	0.99998
GALP	6	-0.04499	-0.55975	0.6841	0.99224	0.57565	0.99998
MZT2A	6	0.092556	0.53608	0.43614	0.99224	0.5919	0.99998
SCARA3	6	0.11602	0.91803	0.32958	0.99224	0.35861	0.99998
RAB3B	6	3.8295e-05	0.00035587	0.98866	0.99916	0.99972	0.99998
CCNO	6	0.023824	0.23212	0.85145	0.99256	0.81644	0.99998
MOV10L1	6	-0.17926	-1.955	0.12486	0.95061	0.050583	0.99998
CCR3	6	0.11127	0.9468	0.35019	0.99224	0.34374	0.99998
MORN1	6	-0.15972	-1.5109	0.16975	0.96379	0.13082	0.99998
COX7A1	6	-0.061195	-1.084	0.58556	0.99224	0.27838	0.99998
GNAS	6	-0.12873	-1.2041	0.26432	0.99224	0.22855	0.99998
KLRF2	6	-0.018405	-0.25798	0.85657	0.99256	0.79642	0.99998
MRPL19	6	0.05382	0.47319	0.65783	0.99224	0.63608	0.99998
C10orf137	6	0.10331	0.52212	0.38618	0.99224	0.60159	0.99998
BRPF3	6	0.0059621	0.051517	0.97032	0.99787	0.95891	0.99998
SLC25A52	6	-0.024891	-0.21935	0.81435	0.99256	0.82638	0.99998
JSRP1	6	0.12288	0.49632	0.30235	0.99224	0.61967	0.99998
UGT1A1	6	0.049523	0.63509	0.68461	0.99224	0.52537	0.99998
RNASEK	6	0.2212	1.549	0.067843	0.94089	0.12139	0.99998
PNPT1	6	0.10624	0.74963	0.37346	0.99224	0.45348	0.99998
SDR42E1	6	-0.11251	-1.5795	0.32728	0.99224	0.11422	0.99998
ENDOG	6	0.025453	0.35073	0.84108	0.99256	0.72579	0.99998
UNC13C	6	-0.046426	-0.54612	0.67562	0.99224	0.58498	0.99998
VN1R5	6	0.095986	0.60484	0.42001	0.99224	0.54528	0.99998
BCL2L12	6	0.33921	1.1383	0.0068673	0.77202	0.25501	0.99998
PIF1	6	-0.088428	-0.64722	0.44034	0.99224	0.51749	0.99998
ALDOC	6	0.026665	0.23963	0.83247	0.99256	0.81062	0.99998
TRIM45	6	-0.022104	-0.23303	0.8327	0.99256	0.81574	0.99998
LYPLAL1	6	-0.01641	-0.17575	0.86957	0.99256	0.86049	0.99998
SRRM4	6	0.15905	1.0525	0.18316	0.96691	0.29256	0.99998
DHCR7	6	0.018981	0.14752	0.88187	0.99353	0.88272	0.99998
TTC26	6	-0.084806	-0.53834	0.45656	0.99224	0.59034	0.99998
DYNC1I2	6	-0.0089323	-0.054918	0.9216	0.99499	0.9562	0.99998
CCAR1	6	0.33822	1.9001	0.0070056	0.77949	0.057418	0.99998
TMEM121	6	0.1068	0.5971	0.3707	0.99224	0.55044	0.99998
CLNS1A	6	-0.23499	-1.2303	0.048532	0.91394	0.21858	0.99998
TBC1D7	6	0.082242	0.75781	0.48979	0.99224	0.44857	0.99998
PRR5L	6	-0.20344	-1.9264	0.084989	0.94393	0.05405	0.99998
TRIM63	6	-0.13211	-1.1792	0.25312	0.99045	0.23831	0.99998
MS4A12	6	-0.11605	-1.22	0.31212	0.99224	0.22247	0.99998
AQP4	6	0.013486	0.072676	0.91745	0.99455	0.94206	0.99998
hsa-mir-320d-2	4	0.080259	0.48129	0.5792	0.99224	0.63031	0.99998
TGIF2LY	6	-0.086947	-0.76027	0.44651	0.99224	0.44709	0.99998
KPNA6	6	0.017642	0.17851	0.8898	0.99353	0.85832	0.99998
DMRTC2	6	-0.070485	-0.84418	0.53182	0.99224	0.39857	0.99998
FTH1P18	6	-0.10458	-0.88827	0.36245	0.99224	0.37439	0.99998
PLA2G10	6	0.0049338	0.061539	0.97663	0.99798	0.95093	0.99998
NonTargetingControlGuideForHuman_0690	1	-0.020945	-0.35136	0.92953	0.99587	0.72532	0.99998
CALB2	6	0.10015	0.63644	0.40153	0.99224	0.52449	0.99998
WDR43	6	0.046153	0.22875	0.70443	0.99224	0.81906	0.99998
EPS8L2	6	0.044093	0.4246	0.71747	0.99256	0.67113	0.99998
THY1	6	-0.0484	-0.26728	0.66433	0.99224	0.78925	0.99998
NSUN3	6	0.11376	1.109	0.33848	0.99224	0.26745	0.99998
CDK18	6	-0.11844	-0.87725	0.30248	0.99224	0.38035	0.99998
FGD6	6	0.057499	0.49117	0.63566	0.99224	0.6233	0.99998
TNNT3	6	0.016149	0.089848	0.89962	0.99432	0.92841	0.99998
SNRPA	6	0.27239	1.3048	0.025994	0.86769	0.19195	0.99998
L1TD1	6	-0.037454	-0.27997	0.73167	0.99256	0.7795	0.99998
GOLGA6A	6	0.034064	0.24187	0.78177	0.99256	0.80888	0.99998
hsa-let-7a-3	4	-0.04142	-0.2839	0.75766	0.99256	0.77649	0.99998
ARIH2	6	0.035351	0.38073	0.77416	0.99256	0.7034	0.99998
ARAP2	6	0.090682	0.57368	0.44601	0.99224	0.56618	0.99998
JAM3	6	0.12469	0.89962	0.29594	0.99224	0.36832	0.99998
VMP1	6	-0.038353	-0.2593	0.72554	0.99256	0.7954	0.99998
OTOP2	6	0.020188	0.12953	0.87418	0.99273	0.89693	0.99998
UBE2M	6	-0.060347	-0.46718	0.59013	0.99224	0.64037	0.99998
hsa-mir-4535	4	0.082002	0.8667	0.57128	0.99224	0.38611	0.99998
EMILIN1	6	-0.14913	-1.2418	0.19855	0.97381	0.21432	0.99998
PCSK1N	6	-0.14869	-0.93797	0.19971	0.97381	0.34826	0.99998
ARHGAP6	6	-0.28672	-1.7807	0.017652	0.85682	0.074962	0.99998
HLA-DOB	6	-0.079789	-0.72976	0.48232	0.99224	0.46554	0.99998
USP33	6	0.044727	0.33297	0.71319	0.99224	0.73915	0.99998
OR2A1	6	-0.065637	-0.47189	0.56169	0.99224	0.63701	0.99998
CNGA2	6	-0.13609	-1.2196	0.23971	0.98383	0.22264	0.99998
FEZ2	6	0.085933	0.72931	0.4708	0.99224	0.46581	0.99998
STAT6	6	-0.044431	-0.53519	0.68756	0.99224	0.59252	0.99998
hsa-mir-106b	4	0.072427	0.44223	0.62022	0.99224	0.65832	0.99998
KIFC3	6	-0.034139	-0.25579	0.75434	0.99256	0.79812	0.99998
PIGV	6	0.16038	1.2982	0.17924	0.9666	0.19421	0.99998
NonTargetingControlGuideForHuman_0334	1	-0.08291	-0.44989	0.75448	0.99256	0.65279	0.99998
GREB1L	6	0.11439	0.86943	0.33595	0.99224	0.38461	0.99998
NCOA2	6	0.080007	0.87007	0.50279	0.99224	0.38426	0.99998
SLAMF7	6	0.11645	0.91999	0.32797	0.99224	0.35758	0.99998
PPP6R2	6	0.1089	1.0794	0.36143	0.99224	0.2804	0.99998
STK36	6	-0.030263	-0.31087	0.78015	0.99256	0.7559	0.99998
RAN	6	-0.21719	-0.6628	0.067936	0.94089	0.50746	0.99998
hsa-mir-1252	3	0.029502	0.1097	0.86975	0.99256	0.91265	0.99998
GMEB2	6	0.05028	0.34256	0.68	0.99224	0.73193	0.99998
ZNF566	6	-0.15517	-1.5248	0.18085	0.9666	0.1273	0.99998
NEFL	6	0.049457	0.67941	0.68507	0.99224	0.49688	0.99998
CDKN2D	6	-0.14698	-0.5962	0.20436	0.97562	0.55104	0.99998
SPATA7	6	0.072328	0.66017	0.548	0.99224	0.50914	0.99998
ADAMTS19	6	0.017624	0.19009	0.8898	0.99353	0.84924	0.99998
TMC1	6	-0.032864	-0.15421	0.76223	0.99256	0.87745	0.99998
DPYSL3	6	-0.10218	-1.0205	0.37249	0.99224	0.30747	0.99998
NASP	6	-0.011236	-0.10761	0.90685	0.99432	0.9143	0.99998
TMCO1	6	0.048936	0.48495	0.68761	0.99224	0.62771	0.99998
ARMC9	6	-0.095066	-0.93053	0.40803	0.99224	0.35209	0.99998
hsa-mir-1302-4	4	0.3446	1.3276	0.024013	0.86304	0.1843	0.99998
CDRT15	6	-0.096343	-0.27233	0.40176	0.99224	0.78537	0.99998
PPAPDC2	6	-0.25856	-1.2385	0.031433	0.87073	0.21552	0.99998
S100A6	6	0.03357	0.26983	0.78527	0.99256	0.78729	0.99998
NIPSNAP3B	6	-0.13718	-1.626	0.23602	0.98383	0.10395	0.99998
PTPN5	6	0.37302	1.8824	0.0036871	0.7	0.059778	0.99998
EHD1	6	0.094066	0.77352	0.42909	0.99224	0.43922	0.99998
ZNF282	6	-0.08754	-0.68523	0.44375	0.99224	0.4932	0.99998
ZNF716	6	-0.00079651	-0.0068242	0.98221	0.99845	0.99456	0.99998
GJD4	6	-0.068195	-0.50107	0.54584	0.99224	0.61632	0.99998
P2RY8_X	6	0.090529	1.112	0.44734	0.99224	0.26615	0.99998
FAM83F	6	0.16154	1.007	0.17652	0.9666	0.31393	0.99998
NonTargetingControlGuideForHuman_0930	1	-0.05557	-0.60555	0.83053	0.99256	0.54481	0.99998
DDX26B	6	0.036205	0.44528	0.76799	0.99256	0.65612	0.99998
UNC45A	6	-0.10575	-0.77246	0.35724	0.99224	0.43984	0.99998
hsa-mir-4635	4	-0.037304	-0.30617	0.78121	0.99256	0.75947	0.99998
MAPKBP1	6	0.039194	0.24365	0.74817	0.99256	0.8075	0.99998
RIMS1	6	0.0010198	0.007859	0.99659	0.99972	0.99373	0.99998
hsa-mir-1307	4	-0.16109	-0.86137	0.26266	0.99224	0.38904	0.99998
LAMB1	6	0.13277	1.25	0.26603	0.99224	0.21131	0.99998
DNAH7	6	0.002943	0.026685	0.99064	0.99944	0.97871	0.99998
LY6D	6	-0.12913	-1.254	0.26331	0.99224	0.20983	0.99998
ME2	6	-0.058593	-0.69617	0.60077	0.99224	0.48632	0.99998
PNP	6	-0.11327	-1.7243	0.32438	0.99224	0.084648	0.99998
UBE3D	6	-0.090807	-0.87679	0.42808	0.99224	0.3806	0.99998
SLC25A29	6	0.13891	1.0124	0.24344	0.98694	0.31132	0.99998
C1orf151-NBL1	6	-0.12295	-1.4025	0.28649	0.99224	0.16077	0.99998
N4BP1	6	-0.073168	-0.82695	0.51721	0.99224	0.40826	0.99998
LOC339862	6	0.24316	1.4978	0.045675	0.89846	0.13419	0.99998
PRDM5	6	-0.14024	-1.3233	0.22667	0.9833	0.18573	0.99998
GALNT14	6	0.076952	0.62873	0.52053	0.99224	0.52953	0.99998
OPCML	6	0.00010607	0.00084173	0.98931	0.99916	0.99933	0.99998
GPC6	6	-0.13047	-1.1368	0.25879	0.99224	0.25563	0.99998
RGS7BP	6	0.19128	1.0701	0.11034	0.95024	0.28458	0.99998
RSG1	6	0.18979	1.4783	0.11296	0.95024	0.13932	0.99998
PBLD	6	-0.17101	-1.0443	0.14302	0.95935	0.29633	0.99998
PHLDA2	6	-0.060059	-0.67202	0.59193	0.99224	0.50157	0.99998
R3HDM4	6	0.17721	0.93762	0.13684	0.95313	0.34844	0.99998
FMNL1	6	-0.097924	-0.81343	0.39365	0.99224	0.41597	0.99998
TRIM3	6	-0.051095	-0.28817	0.64719	0.99224	0.77322	0.99998
MYADML2	6	0.15183	0.92294	0.20445	0.97562	0.35604	0.99998
VAV1	6	-0.032673	-0.23821	0.76338	0.99256	0.81171	0.99998
RXFP3	6	0.19691	1.1331	0.10107	0.95024	0.25715	0.99998
NonTargetingControlGuideForHuman_0659	1	0.26764	1.1338	0.36314	0.99224	0.25689	0.99998
MATN4	6	-0.0065329	-0.052652	0.93939	0.99638	0.95801	0.99998
NonTargetingControlGuideForHuman_0455	1	0.00011929	0.00051907	0.98968	0.99916	0.99959	0.99998
hsa-mir-559	4	-0.1105	-0.85344	0.43748	0.99224	0.39342	0.99998
MTX1	6	0.14097	1.3543	0.23727	0.98383	0.17563	0.99998
PIK3R2	6	0.01316	0.1044	0.91994	0.99499	0.91685	0.99998
PCMTD1	6	0.088632	0.60489	0.45619	0.99224	0.54525	0.99998
NonTargetingControlGuideForHuman_0879	1	0.00114	0.016779	0.99235	0.99972	0.98661	0.99998
CERKL	6	0.019283	0.20154	0.87985	0.99353	0.84027	0.99998
STEAP1B	6	0.040215	0.29015	0.74227	0.99256	0.7717	0.99998
DRD1	6	0.046371	0.62098	0.703	0.99224	0.53461	0.99998
SIX2	6	0.10015	0.89527	0.40153	0.99224	0.37064	0.99998
CYB561	6	-0.1562	-0.84098	0.17777	0.9666	0.40036	0.99998
GOLM1	6	-0.11912	-1.0402	0.30055	0.99224	0.29826	0.99998
TUBA8	6	0.1	0.78287	0.40241	0.99224	0.4337	0.99998
KIAA0101	6	-0.080299	-0.78544	0.47924	0.99224	0.4322	0.99998
BEX4	6	-0.046406	-0.54215	0.67576	0.99224	0.58771	0.99998
NDUFAB1	6	-0.078626	-0.53237	0.48841	0.99224	0.59447	0.99998
EIF2AK3	6	0.082811	0.63455	0.48666	0.99224	0.52572	0.99998
C15orf52	6	0.19591	0.92353	0.10264	0.95024	0.35573	0.99998
ESCO1	6	0.052719	0.53704	0.66373	0.99224	0.59124	0.99998
HSBP1L1	6	0.1421	1.1404	0.23413	0.98383	0.25413	0.99998
GOLGA4	6	-0.035948	-0.32276	0.74162	0.99256	0.74688	0.99998
RFX3	6	-0.12382	-0.88126	0.2829	0.99224	0.37818	0.99998
FLNA	6	0.14699	1.3669	0.21934	0.98147	0.17165	0.99998
JAK3	6	-0.0015734	-0.012725	0.97645	0.99798	0.98985	0.99998
TMEM144	6	-0.068697	-0.68249	0.54279	0.99224	0.49493	0.99998
PFAS	6	0.11721	0.86312	0.32484	0.99224	0.38807	0.99998
NR4A2	6	0.061913	0.71446	0.60852	0.99224	0.47494	0.99998
THSD4	6	0.05322	0.38104	0.66111	0.99224	0.70317	0.99998
FAM214B	6	-0.12868	-0.75801	0.26455	0.99224	0.44845	0.99998
HLA-DMA	6	0.11272	1.0602	0.34387	0.99224	0.28906	0.99998
ARGFX	6	0.090453	0.88722	0.4478	0.99224	0.37496	0.99998
hsa-mir-3689d-1	4	0.076206	0.77249	0.60054	0.99224	0.43982	0.99998
GUCA1B	6	-0.25783	-1.9523	0.031756	0.87073	0.050899	0.99998
BIRC8	6	0.037622	0.25357	0.75881	0.99256	0.79983	0.99998
PER3	6	0.10586	0.72828	0.37521	0.99224	0.46644	0.99998
SLC4A4	6	0.1684	1.2264	0.15832	0.96379	0.22004	0.99998
WRB	6	-0.052183	-0.42806	0.64083	0.99224	0.6686	0.99998
TRIM28	6	0.19899	1.731	0.097617	0.95024	0.083455	0.99998
SFTPA1	6	-0.0085972	-0.077415	0.92363	0.99499	0.93829	0.99998
ANKRD9	6	-0.1079	-0.56473	0.34797	0.99224	0.57226	0.99998
IRF3	6	0.048638	0.57676	0.68973	0.99224	0.5641	0.99998
TTC29	6	-0.034443	-0.34472	0.75278	0.99256	0.73031	0.99998
DST	6	-0.12887	-1.0338	0.264	0.99224	0.30121	0.99998
POLR2M	6	0.13366	0.92823	0.26289	0.99224	0.35329	0.99998
ICA1	6	-0.070012	-0.54351	0.53468	0.99224	0.58678	0.99998
KIF13A	6	-0.11852	-1.2201	0.30216	0.99224	0.22241	0.99998
PPP2R3C	6	-0.097386	-0.96411	0.39605	0.99224	0.33499	0.99998
C11orf91	6	0.087819	0.43623	0.46071	0.99224	0.66267	0.99998
EXD1	6	-0.064256	-0.66972	0.56966	0.99224	0.50304	0.99998
SLC35G3	6	0.045493	0.4083	0.70816	0.99224	0.68305	0.99998
SLC19A2	6	0.050507	0.4981	0.67871	0.99224	0.61841	0.99998
U2SURP	6	0.0020948	0.016524	0.997	0.99972	0.98682	0.99998
IGSF10	6	-0.033502	-0.25373	0.75831	0.99256	0.79971	0.99998
B3GALT5	6	0.022394	0.16924	0.86044	0.99256	0.86561	0.99998
RBMY1A1	6	-0.0097844	-0.1992	0.91593	0.99455	0.8421	0.99998
ZFYVE28	6	0.07721	0.40723	0.51878	0.99224	0.68384	0.99998
PRHOXNB	6	-0.036382	-0.41175	0.73872	0.99256	0.68053	0.99998
TOX3	6	-0.15345	-1.4276	0.18519	0.96828	0.15341	0.99998
hsa-mir-5584	4	0.018107	0.14057	0.91423	0.99455	0.88821	0.99998
CADM3	6	0.079061	0.57311	0.508	0.99224	0.56657	0.99998
GIMAP6	6	-0.030028	-0.26265	0.78191	0.99256	0.79282	0.99998
RTKN	6	-0.099992	-0.7467	0.38332	0.99224	0.45525	0.99998
PIK3CA	6	0.0029111	0.023561	0.99078	0.99944	0.9812	0.99998
WFDC1	6	-0.029027	-0.41343	0.78771	0.99256	0.67929	0.99998
ZNF141	6	0.083801	0.69623	0.48163	0.99224	0.48628	0.99998
RECQL	6	-0.063505	-0.90876	0.57312	0.99224	0.36348	0.99998
hsa-mir-34c	4	0.018052	0.19094	0.9146	0.99455	0.84857	0.99998
NKX2-4	6	-0.067368	-0.57566	0.55141	0.99224	0.56485	0.99998
LARP4	6	0.047045	0.32733	0.69918	0.99224	0.74341	0.99998
TNFSF12-TNFSF13	5	-0.046595	-0.46418	0.70134	0.99224	0.64252	0.99998
MAGEB6	6	-0.033861	-0.17992	0.75623	0.99256	0.85722	0.99998
LAP3	6	-0.11544	-0.66491	0.31438	0.99224	0.50611	0.99998
CDH11	6	-0.16785	-0.93979	0.15007	0.96246	0.34733	0.99998
CEP72	6	-0.011106	-0.034846	0.90745	0.99432	0.9722	0.99998
GRM3	6	-0.025755	-0.23081	0.80859	0.99256	0.81746	0.99998
SPRY1	6	-0.055951	-0.52159	0.61727	0.99224	0.60196	0.99998
ABCB10	6	0.057533	0.59305	0.63553	0.99224	0.55315	0.99998
MPST	6	0.15587	0.88019	0.19284	0.97257	0.37876	0.99998
LRRC45	6	-0.18634	-1.771	0.11149	0.95024	0.076567	0.99998
NSMAF	6	0.04169	0.40224	0.73337	0.99256	0.68751	0.99998
PSEN1	6	0.12832	0.99413	0.28276	0.99224	0.32016	0.99998
USP17L4	4	0.25493	1.3662	0.089137	0.94665	0.17187	0.99998
SLC6A8	6	0.16412	0.83151	0.16938	0.96379	0.40569	0.99998
C1orf115	6	-0.11876	-0.87026	0.30129	0.99224	0.38416	0.99998
C20orf141	6	0.042942	0.46617	0.72406	0.99256	0.64109	0.99998
C9orf171	6	0.24161	1.6845	0.047011	0.90683	0.092093	0.99998
SHCBP1	6	-0.049122	-0.26919	0.65949	0.99224	0.78778	0.99998
KIAA2018	6	0.1935	2.0284	0.10647	0.95024	0.042517	0.99998
CCNB2	6	0.075284	0.48888	0.52998	0.99224	0.62493	0.99998
KAT2A	6	0.091953	0.93862	0.4396	0.99224	0.34793	0.99998
THOC5	6	-0.13395	-1.2888	0.24741	0.99018	0.19746	0.99998
USP4	6	0.092213	0.60856	0.43813	0.99224	0.54282	0.99998
FST	6	-0.0086519	-0.06397	0.92317	0.99499	0.94899	0.99998
KRT72	6	-0.23436	-1.7561	0.048947	0.91394	0.079079	0.99998
NUDCD1	6	-0.25665	-1.5814	0.032862	0.87073	0.11378	0.99998
EXOSC8	6	-0.099002	-0.56263	0.38784	0.99224	0.57369	0.99998
PPEF2	6	0.023217	0.17286	0.85473	0.99256	0.86276	0.99998
TMEM98	6	0.019192	0.15711	0.88035	0.99353	0.87516	0.99998
HMOX1	6	0.0037098	0.01501	0.98571	0.99883	0.98802	0.99998
SPAG6	6	0.0016866	0.017188	0.99959	0.99972	0.98629	0.99998
PVRL3	6	0.040183	0.15192	0.74231	0.99256	0.87925	0.99998
HTATIP2	6	0.28113	1.9554	0.022538	0.86304	0.05054	0.99998
SLFN14	6	-0.0057451	-0.032631	0.94552	0.99715	0.97397	0.99998
NPY2R	6	-0.080964	-0.5773	0.47569	0.99224	0.56373	0.99998
ADAMTS10	6	0.102	0.57407	0.3925	0.99224	0.56592	0.99998
UBE2H	6	0.12213	0.99454	0.30465	0.99224	0.31996	0.99998
RHCE	6	0.081098	0.6006	0.49638	0.99224	0.5481	0.99998
DESI1	6	-0.10122	-0.68646	0.37687	0.99224	0.49242	0.99998
ATP8A2	6	-0.036687	-0.23173	0.73651	0.99256	0.81675	0.99998
PRR20A	6	0.046198	0.7948	0.7042	0.99224	0.42673	0.99998
RC3H1	6	-0.021683	-0.11739	0.83546	0.99256	0.90655	0.99998
OSBPL2	6	-0.12208	-1.0556	0.28986	0.99224	0.29115	0.99998
ING5	6	0.059476	0.45101	0.62354	0.99224	0.65198	0.99998
KIF4A	6	0.0057717	0.048319	0.97166	0.99787	0.96146	0.99998
hsa-mir-660	4	0.037124	0.30458	0.80961	0.99256	0.76069	0.99998
HAVCR1	6	-0.10112	-0.97776	0.37733	0.99224	0.32819	0.99998
PPP1R17	6	-0.01567	-0.17384	0.87533	0.99289	0.86199	0.99998
NOMO1	5	-0.17533	-1.933	0.17131	0.96379	0.053237	0.99998
hsa-mir-146a	4	-0.081712	-0.6313	0.55736	0.99224	0.52784	0.99998
